a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight
7,3,24,0.82485342,3.684,-6.1992898,5,790.02301
6,3,24,0.80433279,5.0250001,-6.05897,4,734.00299
6,3,23,0.8182379,4.6240001,-6.1019502,4,706.93298
6,4,23,0.82188344,4.454,-5.95854,4,706.93298
5,2,22,0.79951233,6.2160001,-6.5840702,4,718.98798
5,2,22,0.79951233,6.2160001,-6.5840702,4,718.98798
5,3,21,0.8054499,5.7789998,-6.7923398,4,702.94501
6,3,23,0.81301802,4.6680002,-6.4398298,5,756.99701
5,1,22,0.80044347,5.9949999,-6.3551402,4,704.961
5,3,22,0.79270875,6.5009999,-6.28443,4,690.97797
5,3,21,0.80910522,5.454,-6.61373,4,690.93396
6,4,23,0.81658763,4.2319999,-5.8524399,4,705.94897
6,4,25,0.80919433,5.1160002,-6.25598,4,734.00299
6,4,4,0.972063,-1.977,-1.0273401,2,253.218
6,4,2,0.94526738,-1.205,-1.06997,3,267.245
5,3,2,0.92230952,-1.789,-0.29291001,2,242.23099
5,3,2,0.92925924,-1.789,-0.29291001,2,242.23099
6,5,26,0.74516952,5.3299999,-6.6965199,0,486.78198
8,1,14,1.1007644,0.10506,-3.99108,2,495.27298
4,2,14,0.81195641,2.464,-2.99824,1,396.48398
11,7,6,1.0153794,-3.346,0.27858999,3,388.27701
7,2,14,0.83733958,2.842,-4.5914798,4,561.70001
6,3,13,0.84094334,2.214,-4.2619801,4,546.68896
7,2,15,0.83733958,2.9260001,-4.9049301,4,561.70001
7,2,14,0.84310311,2.484,-4.3897099,4,547.67297
5,2,13,0.84898412,2.9879999,-4.5875401,3,507.62698
5,2,14,0.88966554,3.7697599,-5.3491101,3,557.63397
7,2,14,0.84816641,2.348,-4.48944,5,559.68396
7,2,16,0.82677829,3.7260001,-5.6219201,4,589.75397
7,2,15,0.83190721,3.1830001,-4.9186902,4,575.72699
7,2,15,0.82677829,3.645,-5.2459002,4,589.75397
7,2,16,0.85330713,2.957,-4.9151702,4,593.71698
6,4,14,0.85003603,2.277,-3.8168299,3,520.651
6,3,13,0.85003603,2.7590001,-4.4686499,3,518.63501
7,3,13,0.84810013,2.5780001,-4.1791501,4,547.67297
7,1,14,0.84425837,3.1919999,-5.2314701,4,560.66797
8,1,17,0.82881969,4.9359999,-7.0497499,5,666.79199
8,1,15,0.84941715,3.148,-5.2818499,4,590.69397
8,2,15,0.84278458,2.7980001,-4.64186,4,591.72601
7,2,14,0.83733958,2.842,-4.5914798,4,561.70001
8,3,14,0.85323936,2.5339999,-4.2295299,4,577.69897
6,2,14,0.87993968,3.3659999,-5.5380001,3,548.617
6,3,15,0.87993968,2.8840001,-4.8861799,3,550.633
11,1,21,0.87230986,2.6064799,-5.6626101,4,726.78101
6,2,14,0.86931551,2.8210001,-5.3313298,4,576.67096
8,2,15,0.84941715,3.02,-4.7479601,4,592.70996
6,2,13,0.85446054,3.039,-4.8360801,4,549.664
7,2,15,0.90201694,4.28476,-5.7304301,4,615.66998
7,3,15,0.84210879,2.177,-4.7505498,4,588.72601
7,2,16,0.81770444,4.6300001,-6.3593798,5,637.79797
6,3,12,0.91155487,2.079,-4.6311002,4,521.547
4,2,8,0.77122521,3.4389999,-3.4542601,2,326.392
6,3,23,0.80781573,4.5830002,-5.8572001,4,719.97601
4,4,6,0.79190606,3.5699999,-3.38111,2,302.37
13,10,8,1.2090635,-2.60308,-1.3230799,3,557.64502
13,10,8,1.3289429,-1.9426399,-2.42117,3,663.00201
13,10,8,1.1771553,-3.4449999,-0.26800001,3,539.65497
13,10,8,1.2407477,-3.2390001,-0.59625,3,584.10602
3,3,0,0.74473768,7.48,-6.9298701,5,460.74298
4,1,4,0.77745229,4.4860001,-7.0225701,5,472.66599
3,3,2,0.84828264,2.6659999,-2.4619601,2,217.23199
7,4,6,0.99590361,-3.652,-0.51779997,2,304.327
